#Data Set Export - Rainfall.Continuous@A64871M,,,,
"GENERAL TERMS AND CONDITIONS
1. Auckland Council owns the copyright on the data.
2. Auckland Council shall be acknowledged as the source of the data used in any publication, media statement or other documents, or oral statements which include the data and are made available to third parties, including the general public.
3. The data is provided with the understanding that it is for the sole use of the recipient, or its agents, and it is not intended that this data will be sold, lent or given to any third party other than for the purposes it is provided for. Data may not be sold to any third party in an unmodified form without agreement of Auckland Council.
4. The user of the data agrees to indemnify Auckland Council for any losses sustained as a consequence of a breach of any of these conditions.
5. A copy of these terms and conditions shall accompany any of the attached data which is made available to third parties.
DISCLAIMER
The data is supplied on the basis that it is accurate to the best of Auckland Council knowledge and belief. While Auckland Council has exercised all reasonable skill and care in compiling and providing this data, Auckland Council accepts no liability in contract, tort or otherwise howsoever, for any loss, damage, injury or expense (whether direct, indirect or consequential) arising out of the provision of this data or its use by you.
NOTE ON DATA
Data users are cautioned to consider carefully the nature of this data before using it for decisions that concern personal or public safety or the conduct of business that involves monetary or operational consequences.
Data users are cautioned to consider carefully using or interpreting this data for purposes other than that for which it was collected.  Auckland Council should be consulted to verify whether the data is being correctly interpreted.
DATA QUALITY
Data provided may include both measured and synthesised data. Measured data may also include data of different quality. Please request quality codes with your data set if you wish to identify these types of data.
",,,,
Timestamp (UTC+12:00),Value (Millimetres),Grade Code,Interpolation Type,Event Timestamp
1874-04-30 00:00:00,10.92,200,5,
1874-05-01 00:00:00,0.51,200,5,
1874-05-02 00:00:00,0,200,5,
1874-05-03 00:00:00,0.25,200,5,
1874-05-10 00:00:00,0,200,5,
1874-05-11 00:00:00,0,200,5,
1874-05-12 00:00:00,9.91,200,5,
1874-05-13 00:00:00,18.03,200,5,
1874-05-17 00:00:00,0,200,5,
1874-05-18 00:00:00,16.51,200,5,
1874-05-19 00:00:00,4.06,200,5,
1874-05-22 00:00:00,0,200,5,
1874-05-23 00:00:00,2.54,200,5,
1874-05-24 00:00:00,0.51,200,5,
1874-05-25 00:00:00,6.35,200,5,
1874-05-26 00:00:00,17.02,200,5,
1874-05-27 00:00:00,9.14,200,5,
1874-05-28 00:00:00,0.76,200,5,
1874-05-29 00:00:00,0.25,200,5,
1874-05-30 00:00:00,0.25,200,5,
1874-05-31 00:00:00,0,200,5,
1874-06-01 00:00:00,5.84,200,5,
1874-06-02 00:00:00,2.29,200,5,
1874-06-03 00:00:00,2.03,200,5,
1874-06-04 00:00:00,0,200,5,
1874-06-05 00:00:00,1.27,200,5,
1874-06-06 00:00:00,0.25,200,5,
1874-06-07 00:00:00,0.25,200,5,
1874-06-08 00:00:00,0.25,200,5,
1874-06-10 00:00:00,0,200,5,
1874-06-11 00:00:00,13.21,200,5,
1874-06-12 00:00:00,3.56,200,5,
1874-06-13 00:00:00,0.51,200,5,
1874-06-15 00:00:00,0,200,5,
1874-06-16 00:00:00,9.14,200,5,
1874-06-17 00:00:00,20.32,200,5,
1874-06-18 00:00:00,4.06,200,5,
1874-06-19 00:00:00,5.59,200,5,
1874-06-20 00:00:00,4.32,200,5,
1874-06-21 00:00:00,1.52,200,5,
1874-06-22 00:00:00,1.02,200,5,
1874-06-23 00:00:00,0,200,5,
1874-06-24 00:00:00,15.24,200,5,
1874-06-25 00:00:00,10.41,200,5,
1874-06-26 00:00:00,0.51,200,5,
1874-06-27 00:00:00,13.97,200,5,
1874-06-28 00:00:00,2.03,200,5,
1874-07-02 00:00:00,0,200,5,
1874-07-03 00:00:00,0.51,200,5,
1874-07-04 00:00:00,0.51,200,5,
1874-07-05 00:00:00,3.3,200,5,
1874-07-07 00:00:00,0,200,5,
1874-07-08 00:00:00,14.22,200,5,
1874-07-09 00:00:00,4.83,200,5,
1874-07-10 00:00:00,4.32,200,5,
1874-07-11 00:00:00,0.25,200,5,
1874-07-12 00:00:00,4.06,200,5,
1874-07-13 00:00:00,6.1,200,5,
1874-07-14 00:00:00,0.25,200,5,
1874-07-15 00:00:00,8.13,200,5,
1874-07-16 00:00:00,0.76,200,5,
1874-07-17 00:00:00,0.25,200,5,
1874-07-19 00:00:00,0,200,5,
1874-07-20 00:00:00,5.84,200,5,
1874-07-21 00:00:00,5.08,200,5,
1874-07-22 00:00:00,8.89,200,5,
1874-07-24 00:00:00,0,200,5,
1874-07-25 00:00:00,0.51,200,5,
1874-07-26 00:00:00,2.29,200,5,
1874-07-27 00:00:00,2.03,200,5,
1874-07-29 00:00:00,0,200,5,
1874-07-30 00:00:00,6.6,200,5,
1874-07-31 00:00:00,5.08,200,5,
1874-08-01 00:00:00,0.25,200,5,
1874-08-02 00:00:00,0.25,200,5,
1874-08-03 00:00:00,9.91,200,5,
1874-08-04 00:00:00,5.59,200,5,
1874-08-05 00:00:00,2.03,200,5,
1874-08-06 00:00:00,0,200,5,
1874-08-07 00:00:00,5.08,200,5,
1874-08-08 00:00:00,0.51,200,5,
1874-08-09 00:00:00,0.76,200,5,
1874-08-10 00:00:00,0.76,200,5,
1874-08-15 00:00:00,0,200,5,
1874-08-16 00:00:00,3.3,200,5,
1874-08-17 00:00:00,9.65,200,5,
1874-08-18 00:00:00,18.8,200,5,
1874-08-19 00:00:00,2.79,200,5,
1874-08-20 00:00:00,2.03,200,5,
1874-08-21 00:00:00,0.25,200,5,
1874-08-22 00:00:00,5.84,200,5,
1874-08-23 00:00:00,0.25,200,5,
1874-08-24 00:00:00,0,200,5,
1874-08-25 00:00:00,13.97,200,5,
1874-08-26 00:00:00,17.53,200,5,
1874-08-27 00:00:00,5.33,200,5,
1874-08-28 00:00:00,3.56,200,5,
1874-08-29 00:00:00,4.32,200,5,
1874-08-30 00:00:00,2.54,200,5,
1874-08-31 00:00:00,0.25,200,5,
1874-09-01 00:00:00,41.91,200,5,
1874-09-02 00:00:00,4.06,200,5,
1874-09-03 00:00:00,3.81,200,5,
1874-09-04 00:00:00,1.52,200,5,
1874-09-05 00:00:00,4.83,200,5,
1874-09-06 00:00:00,1.02,200,5,
1874-09-07 00:00:00,1.02,200,5,
1874-09-08 00:00:00,6.1,200,5,
1874-09-09 00:00:00,2.54,200,5,
1874-09-10 00:00:00,3.05,200,5,
1874-09-11 00:00:00,1.02,200,5,
1874-09-12 00:00:00,0,200,5,
1874-09-13 00:00:00,0.25,200,5,
1874-09-14 00:00:00,23.62,200,5,
1874-09-15 00:00:00,0.76,200,5,
1874-09-16 00:00:00,0,200,5,
1874-09-17 00:00:00,0.51,200,5,
1874-09-18 00:00:00,8.13,200,5,
1874-09-19 00:00:00,3.81,200,5,
1874-09-20 00:00:00,4.57,200,5,
1874-09-21 00:00:00,10.16,200,5,
1874-09-22 00:00:00,0.51,200,5,
1874-09-23 00:00:00,9.91,200,5,
1874-09-24 00:00:00,0.25,200,5,
1874-09-25 00:00:00,0.51,200,5,
1874-09-27 00:00:00,0,200,5,
1874-09-28 00:00:00,0.25,200,5,
1874-09-29 00:00:00,1.52,200,5,
1874-09-30 00:00:00,2.03,200,5,
1874-10-01 00:00:00,1.27,200,5,
1874-10-02 00:00:00,0.25,200,5,
1874-10-03 00:00:00,0.25,200,5,
1874-10-05 00:00:00,0,200,5,
1874-10-06 00:00:00,0.25,200,5,
1874-10-07 00:00:00,7.11,200,5,
1874-10-08 00:00:00,16.76,200,5,
1874-10-09 00:00:00,7.37,200,5,
1874-10-10 00:00:00,0.25,200,5,
1874-10-11 00:00:00,0,200,5,
1874-10-12 00:00:00,5.84,200,5,
1874-10-13 00:00:00,0.25,200,5,
1874-10-14 00:00:00,3.05,200,5,
1874-10-15 00:00:00,2.03,200,5,
1874-10-16 00:00:00,0,200,5,
1874-10-17 00:00:00,1.02,200,5,
1874-10-18 00:00:00,1.27,200,5,
1874-10-19 00:00:00,13.21,200,5,
1874-10-22 00:00:00,0,200,5,
1874-10-23 00:00:00,0.25,200,5,
1874-10-25 00:00:00,0,200,5,
1874-10-26 00:00:00,1.78,200,5,
1874-10-27 00:00:00,0.25,200,5,
1874-10-31 00:00:00,0,200,5,
1874-11-01 00:00:00,3.3,200,5,
1874-11-02 00:00:00,1.52,200,5,
1874-11-03 00:00:00,6.86,200,5,
1874-11-04 00:00:00,2.03,200,5,
1874-11-05 00:00:00,0.25,200,5,
1874-11-06 00:00:00,2.54,200,5,
1874-11-07 00:00:00,0,200,5,
1874-11-08 00:00:00,2.54,200,5,
1874-11-11 00:00:00,0,200,5,
1874-11-12 00:00:00,22.86,200,5,
1874-11-13 00:00:00,10.67,200,5,
1874-11-20 00:00:00,0,200,5,
1874-11-21 00:00:00,0,200,5,
1874-11-22 00:00:00,1.78,200,5,
1874-11-23 00:00:00,7.11,200,5,
1874-11-24 00:00:00,0,200,5,
1874-11-25 00:00:00,7.62,200,5,
1874-11-26 00:00:00,2.03,200,5,
1874-11-27 00:00:00,2.03,200,5,
1874-11-29 00:00:00,0,200,5,
1874-11-30 00:00:00,0.25,200,5,
1874-12-05 00:00:00,0,200,5,
1874-12-06 00:00:00,19.3,200,5,
1874-12-10 00:00:00,0,200,5,
1874-12-11 00:00:00,3.05,200,5,
1874-12-14 00:00:00,0,200,5,
1874-12-15 00:00:00,6.35,200,5,
1874-12-16 00:00:00,1.52,200,5,
1874-12-17 00:00:00,12.19,200,5,
1874-12-18 00:00:00,7.62,200,5,
1874-12-19 00:00:00,0.25,200,5,
1874-12-20 00:00:00,11.18,200,5,
1874-12-22 00:00:00,0,200,5,
1874-12-23 00:00:00,0.25,200,5,
1874-12-30 00:00:00,0,200,5,
1875-01-01 00:00:00,0,200,5,
1875-01-02 00:00:00,19.56,200,5,
1875-01-03 00:00:00,4.06,200,5,
1875-01-04 00:00:00,0,200,5,
1875-01-05 00:00:00,3.05,200,5,
1875-01-12 00:00:00,0,200,5,
1875-01-18 00:00:00,0,200,5,
1875-01-19 00:00:00,0.76,200,5,
1875-01-20 00:00:00,0.25,200,5,
1875-01-27 00:00:00,0,200,5,
1875-01-28 00:00:00,0,200,5,
1875-01-29 00:00:00,9.14,200,5,
1875-01-30 00:00:00,5.33,200,5,
1875-01-31 00:00:00,16,200,5,
1875-02-01 00:00:00,0.51,200,5,
1875-02-05 00:00:00,0,200,5,
1875-02-06 00:00:00,6.6,200,5,
1875-02-07 00:00:00,0,200,5,
1875-02-08 00:00:00,0.76,200,5,
1875-02-13 00:00:00,0,200,5,
1875-02-14 00:00:00,2.03,200,5,
1875-02-16 00:00:00,0,200,5,
1875-02-17 00:00:00,2.54,200,5,
1875-02-18 00:00:00,0,200,5,
1875-02-19 00:00:00,6.1,200,5,
1875-02-20 00:00:00,0,200,5,
1875-02-21 00:00:00,0.51,200,5,
1875-02-28 00:00:00,0,200,5,
1875-03-06 00:00:00,0,200,5,
1875-03-07 00:00:00,1.02,200,5,
1875-03-10 00:00:00,0,200,5,
1875-03-11 00:00:00,0.51,200,5,
1875-03-12 00:00:00,1.02,200,5,
1875-03-19 00:00:00,0,200,5,
1875-03-20 00:00:00,0,200,5,
1875-03-21 00:00:00,4.83,200,5,
1875-03-22 00:00:00,3.56,200,5,
1875-03-24 00:00:00,0,200,5,
1875-03-25 00:00:00,2.79,200,5,
1875-03-27 00:00:00,0,200,5,
1875-03-28 00:00:00,0.51,200,5,
1875-03-30 00:00:00,0,200,5,
1875-03-31 00:00:00,2.03,200,5,
1875-04-01 00:00:00,0.25,200,5,
1875-04-08 00:00:00,0,200,5,
1875-04-09 00:00:00,0.25,200,5,
1875-04-16 00:00:00,0,200,5,
1875-04-17 00:00:00,0,200,5,
1875-04-18 00:00:00,0.51,200,5,
1875-04-19 00:00:00,0.51,200,5,
1875-04-20 00:00:00,0.25,200,5,
1875-04-25 00:00:00,0,200,5,
1875-04-26 00:00:00,5.08,200,5,
1875-04-27 00:00:00,9.65,200,5,
1875-04-28 00:00:00,0.76,200,5,
1875-04-29 00:00:00,2.03,200,5,
1875-04-30 00:00:00,1.52,200,5,
1875-05-01 00:00:00,34.29,200,5,
1875-05-02 00:00:00,8.13,200,5,
1875-05-03 00:00:00,3.05,200,5,
1875-05-04 00:00:00,2.54,200,5,
1875-05-05 00:00:00,3.3,200,5,
1875-05-06 00:00:00,5.59,200,5,
1875-05-08 00:00:00,0,200,5,
1875-05-09 00:00:00,12.95,200,5,
1875-05-10 00:00:00,0.25,200,5,
1875-05-11 00:00:00,0.25,200,5,
1875-05-12 00:00:00,0.25,200,5,
1875-05-13 00:00:00,6.6,200,5,
1875-05-14 00:00:00,6.35,200,5,
1875-05-15 00:00:00,0.25,200,5,
1875-05-16 00:00:00,7.62,200,5,
1875-05-17 00:00:00,14.22,200,5,
1875-05-18 00:00:00,1.52,200,5,
1875-05-19 00:00:00,5.84,200,5,
1875-05-20 00:00:00,3.05,200,5,
1875-05-21 00:00:00,7.62,200,5,
1875-05-22 00:00:00,0.51,200,5,
1875-05-23 00:00:00,0.25,200,5,
1875-05-24 00:00:00,3.3,200,5,
1875-05-25 00:00:00,1.27,200,5,
1875-05-26 00:00:00,54.1,200,5,
1875-05-27 00:00:00,12.95,200,5,
1875-05-28 00:00:00,3.56,200,5,
1875-05-30 00:00:00,0,200,5,
1875-05-31 00:00:00,0.25,200,5,
1875-06-01 00:00:00,10.67,200,5,
1875-06-02 00:00:00,17.78,200,5,
1875-06-05 00:00:00,0,200,5,
1875-06-06 00:00:00,10.67,200,5,
1875-06-07 00:00:00,3.05,200,5,
1875-06-12 00:00:00,0,200,5,
1875-06-13 00:00:00,41.15,200,5,
1875-06-14 00:00:00,17.53,200,5,
1875-06-15 00:00:00,2.79,200,5,
1875-06-16 00:00:00,0,200,5,
1875-06-17 00:00:00,2.03,200,5,
1875-06-18 00:00:00,0.51,200,5,
1875-06-19 00:00:00,18.29,200,5,
1875-06-20 00:00:00,7.62,200,5,
1875-06-21 00:00:00,3.3,200,5,
1875-06-22 00:00:00,0,200,5,
1875-06-23 00:00:00,0.51,200,5,
1875-06-24 00:00:00,0.51,200,5,
1875-06-25 00:00:00,0.51,200,5,
1875-06-28 00:00:00,0,200,5,
1875-06-29 00:00:00,0.25,200,5,
1875-06-30 00:00:00,0,200,5,
1875-07-01 00:00:00,12.19,200,5,
1875-07-02 00:00:00,3.05,200,5,
1875-07-03 00:00:00,4.57,200,5,
1875-07-04 00:00:00,2.54,200,5,
1875-07-05 00:00:00,17.02,200,5,
1875-07-06 00:00:00,2.03,200,5,
1875-07-07 00:00:00,0.76,200,5,
1875-07-08 00:00:00,6.6,200,5,
1875-07-09 00:00:00,2.54,200,5,
1875-07-10 00:00:00,1.02,200,5,
1875-07-11 00:00:00,0,200,5,
1875-07-12 00:00:00,0.51,200,5,
1875-07-13 00:00:00,1.52,200,5,
1875-07-14 00:00:00,0,200,5,
1875-07-15 00:00:00,0.25,200,5,
1875-07-16 00:00:00,1.52,200,5,
1875-07-18 00:00:00,0,200,5,
1875-07-19 00:00:00,5.33,200,5,
1875-07-20 00:00:00,0,200,5,
1875-07-21 00:00:00,17.53,200,5,
1875-07-22 00:00:00,3.3,200,5,
1875-07-23 00:00:00,4.06,200,5,
1875-07-24 00:00:00,0,200,5,
1875-07-25 00:00:00,0.76,200,5,
1875-07-26 00:00:00,1.78,200,5,
1875-07-27 00:00:00,10.16,200,5,
1875-07-28 00:00:00,2.29,200,5,
1875-07-29 00:00:00,0.51,200,5,
1875-07-30 00:00:00,0,200,5,
1875-07-31 00:00:00,25.15,200,5,
1875-08-01 00:00:00,2.54,200,5,
1875-08-02 00:00:00,1.78,200,5,
1875-08-03 00:00:00,3.56,200,5,
1875-08-04 00:00:00,2.03,200,5,
1875-08-10 00:00:00,0,200,5,
1875-08-11 00:00:00,31.75,200,5,
1875-08-12 00:00:00,3.05,200,5,
1875-08-13 00:00:00,0.51,200,5,
1875-08-14 00:00:00,2.03,200,5,
1875-08-15 00:00:00,1.27,200,5,
1875-08-18 00:00:00,0,200,5,
1875-08-19 00:00:00,5.08,200,5,
1875-08-20 00:00:00,4.57,200,5,
1875-08-21 00:00:00,3.81,200,5,
1875-08-22 00:00:00,13.21,200,5,
1875-08-23 00:00:00,5.59,200,5,
1875-08-24 00:00:00,1.52,200,5,
1875-08-25 00:00:00,4.06,200,5,
1875-08-26 00:00:00,12.7,200,5,
1875-08-27 00:00:00,8.89,200,5,
1875-08-28 00:00:00,5.08,200,5,
1875-08-29 00:00:00,5.08,200,5,
1875-08-30 00:00:00,1.52,200,5,
1875-08-31 00:00:00,0.51,200,5,
1875-09-04 00:00:00,0,200,5,
1875-09-05 00:00:00,5.08,200,5,
1875-09-06 00:00:00,5.08,200,5,
1875-09-07 00:00:00,14.73,200,5,
1875-09-08 00:00:00,0.51,200,5,
1875-09-09 00:00:00,0,200,5,
1875-09-10 00:00:00,0.51,200,5,
1875-09-11 00:00:00,26.92,200,5,
1875-09-12 00:00:00,4.06,200,5,
1875-09-13 00:00:00,1.02,200,5,
1875-09-15 00:00:00,0,200,5,
1875-09-16 00:00:00,15.49,200,5,
1875-09-17 00:00:00,2.79,200,5,
1875-09-18 00:00:00,2.03,200,5,
1875-09-19 00:00:00,5.84,200,5,
1875-09-20 00:00:00,1.02,200,5,
1875-09-21 00:00:00,0,200,5,
1875-09-22 00:00:00,0.25,200,5,
1875-09-24 00:00:00,0,200,5,
1875-09-25 00:00:00,1.52,200,5,
1875-09-26 00:00:00,0.51,200,5,
1875-09-27 00:00:00,1.27,200,5,
1875-09-28 00:00:00,7.11,200,5,
1875-09-30 00:00:00,0,200,5,
1875-10-01 00:00:00,3.05,200,5,
1875-10-02 00:00:00,4.06,200,5,
1875-10-03 00:00:00,0,200,5,
1875-10-04 00:00:00,5.59,200,5,
1875-10-05 00:00:00,0.51,200,5,
1875-10-06 00:00:00,4.83,200,5,
1875-10-07 00:00:00,0,200,5,
1875-10-08 00:00:00,2.03,200,5,
1875-10-09 00:00:00,1.78,200,5,
1875-10-10 00:00:00,57.66,200,5,
1875-10-11 00:00:00,10.41,200,5,
1875-10-12 00:00:00,0,200,5,
1875-10-13 00:00:00,0.25,200,5,
1875-10-15 00:00:00,0,200,5,
1875-10-16 00:00:00,15.49,200,5,
1875-10-17 00:00:00,1.52,200,5,
1875-10-18 00:00:00,5.33,200,5,
1875-10-19 00:00:00,1.52,200,5,
1875-10-20 00:00:00,2.03,200,5,
1875-10-21 00:00:00,11.94,200,5,
1875-10-24 00:00:00,0,200,5,
1875-10-25 00:00:00,18.8,200,5,
1875-10-26 00:00:00,1.27,200,5,
1875-10-29 00:00:00,0,200,5,
1875-10-30 00:00:00,5.59,200,5,
1875-10-31 00:00:00,9.14,200,5,
1875-11-01 00:00:00,55.88,200,5,
1875-11-02 00:00:00,3.56,200,5,
1875-11-03 00:00:00,0,200,5,
1875-11-04 00:00:00,15.24,200,5,
1875-11-05 00:00:00,1.02,200,5,
1875-11-06 00:00:00,1.78,200,5,
1875-11-07 00:00:00,1.02,200,5,
1875-11-09 00:00:00,0,200,5,
1875-11-10 00:00:00,5.59,200,5,
1875-11-11 00:00:00,0.25,200,5,
1875-11-16 00:00:00,0,200,5,
1875-11-17 00:00:00,4.06,200,5,
1875-11-18 00:00:00,7.62,200,5,
1875-11-19 00:00:00,20.83,200,5,
1875-11-20 00:00:00,0.25,200,5,
1875-11-21 00:00:00,0.51,200,5,
1875-11-22 00:00:00,3.81,200,5,
1875-11-24 00:00:00,0,200,5,
1875-11-25 00:00:00,9.65,200,5,
1875-11-26 00:00:00,0.51,200,5,
1875-11-27 00:00:00,9.14,200,5,
1875-11-28 00:00:00,5.59,200,5,
1875-11-29 00:00:00,7.11,200,5,
1875-11-30 00:00:00,5.08,200,5,
1875-12-03 00:00:00,0,200,5,
1875-12-04 00:00:00,0.51,200,5,
1875-12-07 00:00:00,0,200,5,
1875-12-08 00:00:00,3.81,200,5,
1875-12-09 00:00:00,0.25,200,5,
1875-12-10 00:00:00,7.62,200,5,
1875-12-11 00:00:00,74.42,200,5,
1875-12-12 00:00:00,17.53,200,5,
1875-12-15 00:00:00,0,200,5,
1875-12-16 00:00:00,2.54,200,5,
1875-12-17 00:00:00,6.1,200,5,
1875-12-19 00:00:00,0,200,5,
1875-12-20 00:00:00,9.14,200,5,
1875-12-21 00:00:00,15.24,200,5,
1875-12-22 00:00:00,5.84,200,5,
1875-12-23 00:00:00,0.25,200,5,
1875-12-24 00:00:00,0.25,200,5,
1875-12-25 00:00:00,0.51,200,5,
1875-12-26 00:00:00,3.05,200,5,
1875-12-27 00:00:00,0,200,5,
1875-12-28 00:00:00,11.68,200,5,
1875-12-29 00:00:00,9.14,200,5,
1875-12-30 00:00:00,0.25,200,5,
1875-12-31 00:00:00,0.51,200,5,
1876-01-01 00:00:00,19.3,200,5,
1876-01-04 00:00:00,0,200,5,
1876-01-05 00:00:00,1.02,200,5,
1876-01-06 00:00:00,21.84,200,5,
1876-01-07 00:00:00,9.14,200,5,
1876-01-08 00:00:00,0.76,200,5,
1876-01-15 00:00:00,0,200,5,
1876-01-16 00:00:00,1.02,200,5,
1876-01-17 00:00:00,5.59,200,5,
1876-01-18 00:00:00,8.13,200,5,
1876-01-19 00:00:00,2.03,200,5,
1876-01-20 00:00:00,1.02,200,5,
1876-01-21 00:00:00,10.16,200,5,
1876-01-22 00:00:00,4.06,200,5,
1876-01-24 00:00:00,0,200,5,
1876-01-25 00:00:00,1.52,200,5,
1876-01-26 00:00:00,41.15,200,5,
1876-01-27 00:00:00,0,200,5,
1876-01-28 00:00:00,0.51,200,5,
1876-02-01 00:00:00,0,200,5,
1876-02-02 00:00:00,2.03,200,5,
1876-02-04 00:00:00,0,200,5,
1876-02-05 00:00:00,0.51,200,5,
1876-02-12 00:00:00,0,200,5,
1876-02-13 00:00:00,5.59,200,5,
1876-02-15 00:00:00,0,200,5,
1876-02-16 00:00:00,0.25,200,5,
1876-02-21 00:00:00,0,200,5,
1876-02-22 00:00:00,0.51,200,5,
1876-02-24 00:00:00,0,200,5,
1876-02-25 00:00:00,19.3,200,5,
1876-02-26 00:00:00,1.02,200,5,
1876-02-27 00:00:00,0,200,5,
1876-02-28 00:00:00,0.25,200,5,
1876-03-01 00:00:00,0,200,5,
1876-03-02 00:00:00,0.25,200,5,
1876-03-03 00:00:00,15.75,200,5,
1876-03-04 00:00:00,1.27,200,5,
1876-03-05 00:00:00,0.25,200,5,
1876-03-07 00:00:00,0,200,5,
1876-03-08 00:00:00,0.25,200,5,
1876-03-12 00:00:00,0,200,5,
1876-03-13 00:00:00,0.25,200,5,
1876-03-16 00:00:00,0,200,5,
1876-03-17 00:00:00,0.25,200,5,
1876-03-18 00:00:00,0.51,200,5,
1876-03-19 00:00:00,0.25,200,5,
1876-03-20 00:00:00,0.76,200,5,
1876-03-21 00:00:00,0.51,200,5,
1876-03-22 00:00:00,1.02,200,5,
1876-03-23 00:00:00,0,200,5,
1876-03-24 00:00:00,13.21,200,5,
1876-03-25 00:00:00,3.56,200,5,
1876-03-26 00:00:00,5.08,200,5,
1876-03-27 00:00:00,3.05,200,5,
1876-03-29 00:00:00,0,200,5,
1876-03-30 00:00:00,6.1,200,5,
1876-03-31 00:00:00,0,200,5,
1876-04-01 00:00:00,0.51,200,5,
1876-04-02 00:00:00,0.51,200,5,
1876-04-03 00:00:00,0.25,200,5,
1876-04-05 00:00:00,0,200,5,
1876-04-06 00:00:00,0.25,200,5,
1876-04-07 00:00:00,0.25,200,5,
1876-04-10 00:00:00,0,200,5,
1876-04-11 00:00:00,7.62,200,5,
1876-04-12 00:00:00,6.6,200,5,
1876-04-13 00:00:00,0.25,200,5,
1876-04-14 00:00:00,1.02,200,5,
1876-04-15 00:00:00,0.25,200,5,
1876-04-16 00:00:00,0,200,5,
1876-04-17 00:00:00,1.27,200,5,
1876-04-18 00:00:00,0.25,200,5,
1876-04-19 00:00:00,3.56,200,5,
1876-04-20 00:00:00,2.03,200,5,
1876-04-21 00:00:00,1.02,200,5,
1876-04-22 00:00:00,0,200,5,
1876-04-23 00:00:00,3.56,200,5,
1876-04-24 00:00:00,1.78,200,5,
1876-04-25 00:00:00,0.25,200,5,
1876-04-26 00:00:00,21.08,200,5,
1876-04-27 00:00:00,10.16,200,5,
1876-04-28 00:00:00,5.84,200,5,
1876-04-29 00:00:00,18.29,200,5,
1876-04-30 00:00:00,0.25,200,5,
1876-05-01 00:00:00,0,200,5,
1876-05-02 00:00:00,1.02,200,5,
1876-05-03 00:00:00,5.59,200,5,
1876-05-04 00:00:00,3.56,200,5,
1876-05-05 00:00:00,0.51,200,5,
1876-05-06 00:00:00,3.56,200,5,
1876-05-07 00:00:00,2.03,200,5,
1876-05-12 00:00:00,0,200,5,
1876-05-13 00:00:00,0.25,200,5,
1876-05-14 00:00:00,0.25,200,5,
1876-05-15 00:00:00,1.02,200,5,
1876-05-16 00:00:00,2.03,200,5,
1876-05-17 00:00:00,15.49,200,5,
1876-05-18 00:00:00,0,200,5,
1876-05-19 00:00:00,0.25,200,5,
1876-05-20 00:00:00,0.51,200,5,
1876-05-21 00:00:00,3.05,200,5,
1876-05-22 00:00:00,0.51,200,5,
1876-05-23 00:00:00,0,200,5,
1876-05-24 00:00:00,0.51,200,5,
1876-05-25 00:00:00,29.97,200,5,
1876-05-26 00:00:00,4.06,200,5,
1876-05-27 00:00:00,2.79,200,5,
1876-05-28 00:00:00,0,200,5,
1876-05-29 00:00:00,1.78,200,5,
1876-06-03 00:00:00,0,200,5,
1876-06-04 00:00:00,0.51,200,5,
1876-06-05 00:00:00,0.51,200,5,
1876-06-06 00:00:00,0.51,200,5,
1876-06-07 00:00:00,3.05,200,5,
1876-06-08 00:00:00,1.02,200,5,
1876-06-09 00:00:00,5.08,200,5,
1876-06-10 00:00:00,0.76,200,5,
1876-06-11 00:00:00,2.79,200,5,
1876-06-12 00:00:00,14.48,200,5,
1876-06-13 00:00:00,3.56,200,5,
1876-06-14 00:00:00,0.51,200,5,
1876-06-15 00:00:00,0,200,5,
1876-06-16 00:00:00,9.91,200,5,
1876-06-17 00:00:00,7.87,200,5,
1876-06-18 00:00:00,5.59,200,5,
1876-06-19 00:00:00,7.11,200,5,
1876-06-20 00:00:00,3.56,200,5,
1876-06-21 00:00:00,0,200,5,
1876-06-22 00:00:00,0.25,200,5,
1876-06-23 00:00:00,0,200,5,
1876-06-24 00:00:00,22.35,200,5,
1876-06-25 00:00:00,9.14,200,5,
1876-06-26 00:00:00,2.03,200,5,
1876-06-28 00:00:00,0,200,5,
1876-06-29 00:00:00,1.02,200,5,
1876-06-30 00:00:00,1.02,200,5,
1876-07-01 00:00:00,0,200,5,
1876-07-02 00:00:00,44.2,200,5,
1876-07-03 00:00:00,3.81,200,5,
1876-07-04 00:00:00,0.25,200,5,
1876-07-05 00:00:00,0.51,200,5,
1876-07-06 00:00:00,0.25,200,5,
1876-07-07 00:00:00,3.81,200,5,
1876-07-08 00:00:00,1.52,200,5,
1876-07-09 00:00:00,2.03,200,5,
1876-07-12 00:00:00,0,200,5,
1876-07-13 00:00:00,7.11,200,5,
1876-07-14 00:00:00,15.49,200,5,
1876-07-15 00:00:00,0.25,200,5,
1876-07-19 00:00:00,0,200,5,
1876-07-20 00:00:00,7.37,200,5,
1876-07-21 00:00:00,13.72,200,5,
1876-07-22 00:00:00,14.48,200,5,
1876-07-23 00:00:00,0,200,5,
1876-07-24 00:00:00,0.25,200,5,
1876-07-25 00:00:00,24.13,200,5,
1876-07-26 00:00:00,4.06,200,5,
1876-07-29 00:00:00,0,200,5,
1876-07-30 00:00:00,9.65,200,5,
1876-07-31 00:00:00,1.27,200,5,
1876-08-01 00:00:00,4.83,200,5,
1876-08-02 00:00:00,7.62,200,5,
1876-08-03 00:00:00,10.16,200,5,
1876-08-04 00:00:00,1.27,200,5,
1876-08-05 00:00:00,0.76,200,5,
1876-08-06 00:00:00,1.52,200,5,
1876-08-09 00:00:00,0,200,5,
1876-08-10 00:00:00,8.89,200,5,
